RiderID,Age,Gender,Occupation
1,27,Other,Self-Employed
2,39,Female,Self-Employed
3,48,Female,Professional
4,34,Male,Other
5,33,Female,Self-Employed
6,51,Female,Unemployed
7,54,Other,Self-Employed
8,67,Female,Retired
9,56,Female,Self-Employed
10,34,Female,Other
11,50,Other,Professional
12,40,Female,Other
13,70,Other,Professional
14,65,Male,Self-Employed
15,55,Female,Professional
16,56,Female,Retired
17,37,Female,Unemployed
18,46,Other,Other
19,41,Female,Other
20,29,Female,Unemployed
21,68,Female,Other
22,58,Female,Unemployed
23,60,Male,Professional
24,30,Other,Unemployed
25,42,Other,Professional
26,49,Other,Student
27,42,Other,Professional
28,31,Other,Self-Employed
29,43,Male,Retired
30,62,Other,Professional
31,18,Female,Professional
32,44,Male,Self-Employed
33,34,Male,Professional
34,60,Male,Professional
35,57,Male,Professional
36,33,Other,Unemployed
37,54,Female,Other
38,42,Female,Student
39,57,Female,Other
40,44,Female,Student
41,32,Other,Other
42,18,Other,Self-Employed
43,32,Male,Other
44,30,Other,Unemployed
45,52,Male,Retired
46,26,Other,Other
47,37,Other,Retired
48,51,Other,Professional
49,29,Other,Unemployed
50,58,Male,Professional
51,32,Other,Other
52,65,Female,Unemployed
53,16,Male,Self-Employed
54,69,Male,Professional
55,29,Other,Professional
56,65,Female,Other
57,19,Female,Other
58,43,Other,Self-Employed
59,21,Male,Professional
60,16,Male,Self-Employed
61,40,Male,Other
62,31,Male,Other
63,52,Female,Retired
64,32,Male,Other
65,19,Male,Unemployed
66,55,Male,Self-Employed
67,45,Other,Professional
68,61,Male,Self-Employed
69,46,Other,Student
70,41,Male,Self-Employed
71,50,Male,Professional
72,36,Female,Retired
73,16,Female,Unemployed
74,22,Male,Professional
75,22,Other,Student
76,70,Male,Self-Employed
77,67,Female,Other
78,40,Other,Professional
79,33,Female,Self-Employed
80,20,Female,Unemployed
81,64,Male,Professional
82,61,Other,Student
83,50,Female,Student
84,21,Male,Unemployed
85,39,Male,Unemployed
86,28,Other,Other
87,51,Other,Retired
88,38,Male,Professional
89,62,Female,Other
90,55,Male,Student
91,46,Female,Professional
92,28,Female,Self-Employed
93,37,Male,Other
94,21,Other,Other
95,46,Other,Other
96,37,Male,Self-Employed
97,53,Female,Other
98,19,Other,Other
99,61,Male,Self-Employed
100,54,Female,Unemployed
