RecordID,BusID,Date,Time,NumberOfRiders,RiderID
1,18,2023-12-17,17:00,34,1
2,40,2023-12-31,9:41,40,2
3,10,2024-01-05,15:57,40,3
4,26,2023-12-11,23:40,18,4
5,27,2023-12-20,21:04,48,5
6,15,2023-12-10,19:26,25,6
7,8,2023-12-28,13:50,45,7
8,20,2023-12-31,13:42,59,8
9,11,2023-12-19,17:56,36,9
10,16,2023-12-31,20:29,20,10
11,32,2023-12-29,20:45,46,11
12,17,2023-12-18,10:23,46,12
13,37,2023-12-16,7:25,30,13
14,3,2023-12-26,13:37,19,14
15,13,2023-12-31,10:31,33,15
16,40,2023-12-15,7:36,32,16
17,32,2023-12-12,6:33,42,17
18,2,2023-12-28,20:45,19,18
19,27,2023-12-07,12:56,60,19
20,18,2023-12-16,12:31,29,20
21,22,2023-12-07,23:24,30,21
22,10,2023-12-13,7:39,35,22
23,7,2023-12-16,7:53,53,23
24,14,2024-01-03,14:43,24,24
25,31,2023-12-17,16:40,44,25
26,30,2023-12-11,10:52,23,26
27,33,2023-12-14,15:17,37,27
28,4,2023-12-22,14:13,16,28
29,33,2023-12-27,12:38,46,29
30,2,2023-12-29,14:06,16,30
31,33,2024-01-06,9:59,25,31
32,38,2023-12-31,10:27,40,32
33,17,2023-12-10,8:41,47,33
34,10,2023-12-23,21:37,16,34
35,28,2023-12-14,11:52,23,35
36,35,2024-01-03,14:05,25,36
37,38,2024-01-03,20:22,30,37
38,6,2023-12-10,16:50,29,38
39,22,2023-12-10,15:29,23,39
40,5,2023-12-16,15:25,36,40
41,10,2023-12-11,13:01,19,41
42,3,2023-12-12,16:55,52,42
43,28,2023-12-29,13:34,56,43
44,26,2023-12-26,14:47,39,44
45,20,2023-12-27,21:06,34,45
46,14,2023-12-31,10:15,16,46
47,24,2023-12-24,17:48,46,47
48,27,2023-12-11,9:45,47,48
49,6,2023-12-22,11:44,53,49
50,4,2023-12-21,20:10,22,50
51,10,2023-12-15,19:50,15,51
52,29,2023-12-25,12:05,49,52
53,10,2023-12-24,22:58,28,53
54,9,2023-12-16,10:02,16,54
55,28,2024-01-02,17:09,23,55
56,20,2023-12-25,20:02,39,56
57,34,2023-12-20,8:49,26,57
58,12,2024-01-04,7:23,18,58
59,30,2023-12-07,14:52,31,59
60,27,2023-12-15,16:46,28,60
61,28,2023-12-09,13:06,29,61
62,4,2023-12-17,11:48,15,62
63,21,2023-12-12,10:44,30,63
64,12,2023-12-14,14:10,41,64
65,4,2023-12-25,11:31,46,65
66,35,2023-12-17,20:26,20,66
67,22,2023-12-09,12:47,42,67
68,30,2023-12-12,9:28,37,68
69,33,2023-12-28,13:18,33,69
70,4,2024-01-05,17:30,24,70
71,9,2024-01-01,7:16,32,71
72,30,2023-12-17,22:27,25,72
73,6,2023-12-28,11:55,24,73
74,1,2023-12-14,11:41,25,74
75,19,2023-12-31,20:53,23,75
76,11,2023-12-20,12:40,26,76
77,25,2023-12-23,20:06,32,77
78,16,2023-12-09,20:07,26,78
79,4,2023-12-20,10:58,35,79
80,37,2024-01-03,16:49,16,80
81,17,2023-12-25,10:06,38,81
82,12,2023-12-12,22:24,38,82
83,13,2023-12-22,10:19,26,83
84,8,2023-12-18,7:43,25,84
85,17,2023-12-20,19:26,21,85
86,38,2024-01-05,23:33,25,86
87,20,2023-12-12,8:50,60,87
88,33,2023-12-31,18:00,30,88
89,18,2023-12-07,16:49,27,89
90,27,2023-12-19,19:29,28,90
91,23,2024-01-02,13:27,48,91
92,18,2023-12-31,8:33,34,92
93,24,2023-12-13,17:47,35,93
94,9,2023-12-14,15:56,30,94
95,30,2023-12-24,8:14,40,95
96,28,2023-12-14,18:40,43,96
97,30,2024-01-01,22:48,29,97
98,15,2023-12-08,20:44,45,98
99,10,2023-12-10,14:47,30,99
100,4,2023-12-26,12:34,15,100
101,25,2023-12-26,9:21,18,1
102,20,2023-12-14,10:18,29,2
103,25,2023-12-23,14:54,29,3
104,9,2023-12-19,18:46,34,4
105,38,2023-12-08,6:53,33,5
106,39,2023-12-13,12:54,27,6
107,37,2023-12-12,13:59,50,7
108,38,2023-12-17,12:24,25,8
109,22,2023-12-22,17:12,38,9
110,10,2023-12-13,22:23,26,10
111,1,2023-12-11,18:36,45,11
112,19,2023-12-27,7:37,46,12
113,33,2023-12-25,15:38,21,13
114,7,2023-12-30,21:56,41,14
115,31,2023-12-26,6:08,24,15
116,2,2023-12-30,10:57,42,16
117,37,2023-12-07,15:30,15,17
118,37,2023-12-18,11:22,29,18
119,27,2024-01-03,9:57,25,19
120,1,2023-12-14,21:13,29,20
121,4,2023-12-27,11:01,29,21
122,34,2023-12-28,22:38,20,22
123,12,2023-12-27,18:43,52,23
124,27,2023-12-11,22:26,40,24
125,21,2023-12-08,14:06,38,25
126,37,2023-12-10,18:40,31,26
127,28,2023-12-11,20:25,22,27
128,16,2023-12-07,22:10,48,28
129,36,2023-12-30,20:52,47,29
130,11,2024-01-02,14:29,37,30
131,23,2023-12-11,8:38,26,31
132,9,2024-01-02,21:23,25,32
133,21,2023-12-15,17:08,31,33
134,17,2023-12-19,18:00,24,34
135,22,2024-01-06,21:18,36,35
